year,location,team,score,penalties,tries,conversions,dropgoals,territory%,possession%,22entries,points_scored_per_entry,scrums,scrums_won%,lineouts,lineouts_won%,restarts_received,restarts_won%,passes,carries,metres_after_contact,linebreaks,to_won,to_lost,penalties_won,yellow_cards,red_cards,tackles_made,tackles_missed,tackle_success_rate%,kicks,kick_ratio,opp_location,opp_team,opp_score,opp_penalties,opp_tries,opp_conversions,opp_dropgoals,opp_territory%,opp_possession%,opp_22entries,opp_points_scored_per_entry,opp_scrums,opp_scrums_won%,opp_lineouts,opp_lineouts_won%,opp_restarts_received,opp_restarts_won%,opp_passes,opp_carries,opp_metres_after_contact,opp_linebreaks,opp_to_won,opp_to_lost,opp_penalties_won,opp_yellow_cards,opp_red_cards,opp_tackles_made,opp_tackles_missed,opp_tackle_success_rate%,opp_kicks,opp_kick_ratio
2015,home,Wales,16,2,1,1,1,41,51,,,8,75,14,71,5,100,121,109,0,2,10,11,9,1,0,135,21,87,32,26.316,away,England,21,3,2,1,0,59,49,,,3,100,11,82,7,86,118,132,0,3,8,14,9,0,0,145,14,91,32,27.027
2015,away,England,21,3,2,1,0,59,49,,,3,100,11,82,7,86,118,132,0,3,8,14,9,0,0,145,14,91,32,27.027,home,Wales,16,2,1,1,1,41,51,,,8,75,14,71,5,100,121,109,0,2,10,11,9,1,0,135,21,87,32,26.316
2015,home,Italy,3,1,0,0,0,48,37,,,7,86,11,64,1,100,144,110,0,1,4,18,7,1,0,198,18,92,15,10.417,away,Ireland,26,4,2,2,0,51,63,,,7,100,14,86,7,71,192,158,0,5,5,10,11,0,0,117,12,91,28,14.493
2015,away,Ireland,26,4,2,2,0,51,63,,,7,100,14,86,7,71,192,158,0,5,5,10,11,0,0,117,12,91,28,14.493,home,Italy,3,1,0,0,0,48,37,,,7,86,11,64,1,100,144,110,0,1,4,18,7,1,0,198,18,92,15,10.417
2015,home,France,15,5,0,0,0,53,54,,,2,100,20,90,7,100,156,123,0,4,11,14,11,0,0,112,12,90,29,18.519,away,Scotland,8,1,1,0,0,47,46,,,5,80,13,85,4,100,130,103,0,6,11,21,8,1,0,135,21,87,25,19.231
2015,away,Scotland,8,1,1,0,0,47,46,,,5,80,13,85,4,100,130,103,0,6,11,21,8,1,0,135,21,87,25,19.231,home,France,15,5,0,0,0,53,54,,,2,100,20,90,7,100,156,123,0,4,11,14,11,0,0,112,12,90,29,18.519
2015,home,England,47,3,6,4,0,50,47,,,7,86,12,92,11,82,155,106,0,9,11,9,10,0,0,164,26,86,27,17.544,away,Italy,17,0,3,1,0,50,53,,,5,80,10,70,6,100,154,127,0,11,3,18,7,0,0,113,19,86,16,10.417
2015,away,Italy,17,0,3,1,0,50,53,,,5,80,10,70,6,100,154,127,0,11,3,18,7,0,0,113,19,86,16,10.417,home,England,47,3,6,4,0,50,47,,,7,86,12,92,11,82,155,106,0,9,11,9,10,0,0,164,26,86,27,17.544
2015,home,Ireland,18,6,0,0,0,47,46,,,5,60,13,92,8,88,116,93,0,0,9,7,14,1,0,147,24,86,26,22.222,away,France,11,2,1,0,0,53,54,,,6,83,12,92,5,60,149,140,0,1,4,18,11,1,0,94,14,87,11,7.407
2015,away,France,11,2,1,0,0,53,54,,,6,83,12,92,5,60,149,140,0,1,4,18,11,1,0,94,14,87,11,7.407,home,Ireland,18,6,0,0,0,47,46,,,5,60,13,92,8,88,116,93,0,0,9,7,14,1,0,147,24,86,26,22.222
2015,home,Scotland,23,3,2,2,0,49,47,,,5,80,13,85,5,100,107,103,0,6,5,7,17,1,0,118,10,92,16,14.925,away,Wales,26,4,2,2,0,51,53,,,4,100,11,73,8,100,132,115,0,6,6,9,14,1,0,115,15,88,21,15.873
2015,away,Wales,26,4,2,2,0,51,53,,,4,100,11,73,8,100,132,115,0,6,6,9,14,1,0,115,15,88,21,15.873,home,Scotland,23,3,2,2,0,49,47,,,5,80,13,85,5,100,107,103,0,6,5,7,17,1,0,118,10,92,16,14.925
2015,home,Scotland,19,4,1,1,0,58,52,,,3,100,8,75,6,67,136,117,0,4,5,14,10,2,0,97,9,92,24,17.544,away,Italy,22,1,2,2,0,43,48,,,10,80,12,83,5,100,102,90,0,1,5,10,13,0,0,118,21,85,27,26.316
2015,away,Italy,22,1,2,2,0,43,48,,,10,80,12,83,5,100,102,90,0,1,5,10,13,0,0,118,21,85,27,26.316,home,Scotland,19,4,1,1,0,58,52,,,3,100,8,75,6,67,136,117,0,4,5,14,10,2,0,97,9,92,24,17.544
